,created_utc,id,author,num_comments,month,Ratio_Of_Gaps,Number_of_Gaps,Sentiment_Of_Post,Sentiment_Of_Comments,Score_Of_Comments,Score
0,2018-01-01 10:51:10,7nelxq,AutoModerator,94,1,0.0,8,0.9611,0.0,neutral,High
1,2018-01-03 13:09:49,7nujct,tunkor,7,1,0.42857142857142855,10,-0.956,1.0,positive,Low
2,2018-01-03 15:38:02,7nvdx5,younsomoom,38,1,1.375,19,0.6369,0.25,highly_positive,High
3,2018-01-03 19:14:39,7nwwa0,GeorgeKaplan04,6,1,0.0,2,0.945,0.0,positive,Low
4,2018-01-04 17:06:34,7o4cxz,somerider159,1,1,0.3333333333333333,4,-0.6586,0.0,neutral,Low
5,2018-01-04 22:06:33,7o6chp,AllieFilmore,2,1,0.0,0,0.0,0.0,neutral,neutral
6,2018-01-05 01:49:00,7o7t49,kaitlyn2004,1,1,0.6666666666666666,10,0.3421,0.0,positive,neutral
7,2018-01-06 02:51:04,7ogirp,jdrch,5,1,0.25,5,0.7351,0.0,neutral,Low
8,2018-01-06 03:01:33,7ogkx1,jdrch,0,1,0.25,5,0.6662,0.0,neutral,neutral
9,2018-01-06 07:43:11,7ohxw2,somerider159,14,1,0.3333333333333333,4,0.2169,0.0,neutral,Low
10,2018-01-06 11:33:35,7oisaw,tunkor,5,1,0.42857142857142855,10,0.6705,0.0,positive,Low
11,2018-01-07 23:59:56,7ouh3p,polar8,4,1,0.0,0,0.4857,0.0,neutral,Low
12,2018-01-08 18:35:57,7p0kse,Raging_Red_Rocket,3,1,0.0,0,-0.686,0.0,neutral,Low
13,2018-01-09 01:25:36,7p3jll,djjuice,9,1,1.5,5,-0.8522,1.0,positive,High
14,2018-01-10 04:45:43,7pd99c,interested_sortof,7,1,0.0,1,0.0,0.0,neutral,neutral
15,2018-01-10 18:27:23,7phjsf,___GNUSlashLinux___,1,1,0.0,1,0.0772,0.0,neutral,Low
16,2018-01-10 21:47:57,7pj1m4,lass93,4,1,0.0,0,-0.2547,0.0,neutral,Low
17,2018-01-11 05:25:25,7plx6u,NiroXu,3,1,0.5,3,-0.1531,0.0,neutral,Low
18,2018-01-12 11:14:58,7pvxya,garpunkal,3,1,0.3333333333333333,4,0.6848,0.0,neutral,Low
19,2018-01-12 22:38:35,7q0ckw,justavault,6,1,0.0,3,0.1943,1.0,positive,Low
20,2018-01-13 00:01:15,7q0vt7,yaoigay,6,1,0.75,7,-0.6023,0.0,positive,Low
21,2018-01-13 17:20:43,7q5qbj,Homeguy123,5,1,1.5,5,0.0,0.0,neutral,Low
22,2018-01-13 17:40:18,7q5uz5,ericthered03,5,1,2.0,3,0.0,0.0,neutral,Low
23,2018-01-14 08:54:38,7qavfh,yaoigay,9,1,0.75,7,-0.34,1.0,positive,Low
24,2018-01-15 01:47:10,7qgecd,yaoigay,2,1,0.75,7,0.7941,0.0,neutral,Low
25,2018-01-15 12:13:58,7qjbcx,KnightsofNi10,3,1,0.0,1,0.5719,1.0,positive,Low
26,2018-01-15 18:34:59,7qlp4z,Girlydian,0,1,0.0,0,0.7559,0.0,neutral,Low
27,2018-01-17 21:16:20,7r4d34,joeker9787,12,1,0.5,3,-0.6655,0.0,neutral,Low
28,2018-01-18 02:28:21,7r6hs9,yaoigay,4,1,0.75,7,-0.4113,0.0,neutral,Low
29,2018-01-18 17:19:53,7rb908,gnwjd12,10,1,1.75,11,0.3612,2.0,positive,Low
30,2018-01-19 00:43:59,7rehnk,ainnanahmad,6,1,0.0,0,0.4306,0.0,positive,Low
31,2018-01-19 19:45:31,7rkxyw,ericthered03,2,1,2.0,3,-0.4397,0.0,neutral,Low
32,2018-01-20 13:58:56,7rqif6,dryanmusic,8,1,0.0,2,0.9167,1.0,positive,Low
33,2018-01-20 14:25:43,7rqn97,WUT_productions,5,1,0.0,2,0.0,0.0,neutral,Low
34,2018-01-20 17:28:12,7rrphq,2000gatekeeper,8,1,1.0,2,0.7611,0.0,neutral,Low
35,2018-01-20 18:17:58,7rs15s,-PsychoDan-,25,1,1.0,4,0.6394,1.0,positive,Low
36,2018-01-21 00:24:49,7rubws,lalliesaurus,10,1,0.0,0,-0.8399,0.0,neutral,Low
37,2018-01-21 13:23:54,7rxnm6,tunkor,6,1,0.42857142857142855,10,0.0,0.0,neutral,neutral
38,2018-01-21 19:25:51,7rztvq,CantaloupeCamper,13,1,0.0,0,0.4186,1.0,positive,Low
39,2018-01-22 21:23:17,7s94nc,interested_sortof,13,1,0.0,1,-0.0387,0.5,positive,High
40,2018-01-23 02:10:16,7sb31w,joeker9787,2,1,0.5,3,0.4215,0.0,neutral,Low
41,2018-01-23 03:40:26,7sbmxo,kaitlyn2004,2,1,0.6666666666666666,10,0.0,0.0,neutral,Low
42,2018-01-23 06:21:08,7schxn,younsomoom,1,1,1.375,19,0.2263,0.0,neutral,neutral
43,2018-01-24 05:14:58,7skxcx,younsomoom,1,1,1.375,19,0.2869,1.0,positive,Low
44,2018-01-24 10:07:31,7sm457,EragusTrenzalore,13,1,1.1666666666666667,13,0.0,0.0,neutral,High
45,2018-01-25 16:07:55,7sx328,lucellent,6,1,2.0,6,-0.4057,0.0,neutral,Low
46,2018-01-26 03:41:34,7t1xxp,Homeguy123,0,1,1.5,5,0.0,0.0,neutral,neutral
47,2018-01-26 17:40:37,7t66fu,A4orce84,1,1,0.25,5,0.8601,0.0,neutral,Low
48,2018-01-26 20:57:17,7t7lwh,Waphire,5,1,0.0,0,0.9317,0.0,neutral,Low
49,2018-01-28 20:21:39,7tmsw9,abmantis,2,1,0.0,0,0.4515,0.0,neutral,Low
50,2018-01-29 22:08:10,7tw0m9,Gamester997,15,1,0.3333333333333333,4,-0.8105,0.0,neutral,High
51,2018-01-31 05:35:40,7u7p78,Slowmac123,3,1,2.0,3,0.9402,0.0,neutral,Low
52,2018-02-01 10:51:03,7uhyd5,AutoModerator,60,2,0.0,8,0.9611,0.0,neutral,Low
53,2018-02-01 14:48:46,7uj7ci,lucellent,5,2,2.0,6,0.7851,0.0,positive,Low
54,2018-02-02 00:25:10,7uneuz,DistantOrigin0,21,2,0.0,1,0.9609,0.0,neutral,High
55,2018-02-02 22:53:21,7uvaq2,izdryk,0,2,0.0,1,0.6059,0.0,neutral,Low
56,2018-02-03 04:59:05,7uxd1l,codyblue_,10,2,2.0,2,0.8536,0.0,neutral,Low
57,2018-02-05 19:49:10,7vhe4b,vsn611,3,2,0.0,2,0.8689,0.0,neutral,Low
58,2018-02-06 03:13:28,7vkgdc,WUT_productions,2,2,0.0,2,0.0,0.0,highly_positive,neutral
59,2018-02-06 17:12:14,7votff,ericthered03,35,2,2.0,3,0.7471,0.0,positive,High
60,2018-02-06 20:19:03,7vq8su,yaoigay,3,2,0.75,7,0.547,0.0,neutral,Low
61,2018-02-07 04:13:32,7vthqn,LeCholax,11,2,0.0,0,0.2732,0.0,positive,Low
62,2018-02-08 08:37:36,7w3gxw,fretit,2,2,0.6666666666666666,5,0.9003,1.0,positive,Low
63,2018-02-08 11:25:21,7w45f4,EragusTrenzalore,15,2,1.1666666666666667,13,0.9667,0.0,neutral,Low
64,2018-02-08 16:48:27,7w658w,ericthered03,3,2,2.0,3,0.6731,0.0,neutral,Low
65,2018-02-08 20:32:13,7w7vpw,A4orce84,5,2,0.25,5,0.5778,0.0,positive,Low
66,2018-02-09 05:09:26,7wb7vd,younsomoom,3,2,1.375,19,-0.264,0.0,neutral,Low
67,2018-02-09 17:26:08,7wf0d1,codyblue_,3,2,2.0,2,0.9534,0.0,neutral,Low
68,2018-02-10 06:45:06,7wjxih,Slowmac123,7,2,2.0,3,0.797,1.0,positive,Low
69,2018-02-15 19:41:21,7xsxhw,farmtechy,6,2,1.0,4,-0.5745,1.0,positive,Low
70,2018-02-16 04:43:44,7xweqr,unhingeddonkey,2,2,0.0,0,-0.8049,0.0,neutral,Low
71,2018-02-16 05:11:56,7xwjzp,Slowmac123,5,2,2.0,3,0.3455,0.0,positive,Low
72,2018-02-16 20:34:35,7y1pg0,tharussianphil,5,2,0.0,1,-0.2935,0.0,neutral,Low
73,2018-02-17 04:45:30,7y4md0,mkktbkkt11,2,2,0.0,0,-0.5362,0.0,neutral,Low
74,2018-02-17 05:04:23,7y4pk5,codyblue_,1,2,2.0,2,0.7969,0.0,neutral,Low
75,2018-02-17 10:23:13,7y5xmo,RHS_Salamis,5,2,0.0,1,0.9729,0.0,neutral,Low
76,2018-02-19 05:32:36,7ykgo4,gnwjd12,6,2,1.75,11,0.0,0.0,neutral,neutral
77,2018-02-19 14:39:40,7yn1xo,KnightsofNi10,0,2,0.0,1,-0.8505,0.0,neutral,Low
78,2018-02-19 22:27:42,7yqsuh,A4orce84,1,2,0.25,5,0.5106,0.0,neutral,Low
79,2018-02-20 03:12:06,7ysqj8,younsomoom,1,2,1.375,19,0.0,0.0,neutral,Low
80,2018-02-20 19:50:22,7yyve7,A4orce84,1,2,0.25,5,0.5423,0.0,neutral,neutral
81,2018-02-20 23:22:13,7z0mk4,rodeopenguin,2,2,0.0,1,0.1655,0.0,neutral,Low
82,2018-02-21 04:15:49,7z2psp,younsomoom,3,2,1.375,19,0.0,0.0,neutral,Low
83,2018-02-21 07:08:46,7z3q3h,petmechompU,7,2,0.0,0,0.9034,0.0,positive,Low
84,2018-02-21 08:02:12,7z3z25,-PsychoDan-,10,2,1.0,4,-0.2023,0.0,positive,Low
85,2018-02-22 03:51:50,7zbwy8,younsomoom,9,2,1.375,19,-0.7128,1.0,positive,Low
86,2018-02-22 06:06:31,7zcoqe,younsomoom,2,2,1.375,19,0.8948,0.0,neutral,Low
87,2018-02-22 17:02:00,7zgego,jaju123,4,2,0.0,1,0.68,0.0,neutral,Low
88,2018-02-23 02:54:22,7zksuv,marks17,1,2,0.0,0,0.2585,0.0,neutral,Low
